iter	Passed	Remaining
440	1301	1650
441	1304	1647
442	1307	1643
443	1310	1640
444	1312	1637
445	1314	1633
446	1317	1629
447	1319	1625
448	1322	1622
449	1324	1618
450	1327	1615
451	1330	1612
452	1333	1609
453	1335	1606
454	1338	1603
455	1341	1599
456	1343	1596
457	1346	1593
458	1349	1590
459	1352	1588
460	1355	1585
461	1358	1582
462	1362	1580
463	1365	1577
464	1368	1574
465	1371	1572
466	1375	1569
467	1378	1566
468	1381	1563
469	1383	1560
470	1386	1557
471	1389	1554
472	1392	1551
473	1395	1548
474	1398	1545
475	1401	1542
476	1403	1539
477	1407	1536
478	1410	1533
479	1413	1530
480	1416	1527
481	1418	1524
482	1421	1521
483	1425	1519
484	1428	1516
485	1431	1513
486	1434	1510
487	1436	1507
488	1440	1505
489	1443	1501
490	1445	1498
491	1448	1495
492	1451	1492
493	1456	1492
494	1460	1489
495	1463	1487
496	1466	1484
497	1470	1481
498	1473	1478
499	1475	1475
500	1478	1472
501	1481	1469
502	1484	1466
503	1487	1464
504	1491	1461
505	1493	1458
506	1497	1455
507	1500	1453
508	1504	1450
509	1507	1448
510	1510	1445
511	1513	1443
512	1517	1440
513	1520	1437
514	1523	1434
515	1526	1431
516	1529	1429
517	1532	1426
518	1536	1424
519	1539	1421
520	1542	1418
521	1546	1415
522	1549	1413
523	1552	1410
524	1555	1407
525	1558	1404
526	1561	1401
527	1564	1398
528	1567	1396
529	1570	1393
530	1574	1390
531	1577	1387
532	1581	1385
533	1584	1382
534	1587	1379
535	1589	1376
536	1592	1372
537	1595	1370
538	1599	1367
539	1602	1364
540	1605	1362
541	1608	1359
542	1611	1356
543	1614	1353
544	1617	1350
545	1620	1347
546	1623	1344
547	1627	1342
548	1630	1339
549	1633	1336
550	1637	1334
551	1639	1330
552	1643	1328
553	1645	1324
554	1648	1321
555	1651	1318
556	1653	1315
557	1657	1312
558	1660	1309
559	1662	1306
560	1665	1303
561	1667	1299
562	1670	1297
563	1674	1294
564	1676	1290
565	1679	1287
566	1681	1284
567	1684	1281
568	1688	1278
569	1690	1275
570	1693	1272
571	1696	1269
572	1698	1265
573	1701	1262
574	1704	1259
575	1707	1256
576	1710	1253
577	1712	1250
578	1715	1247
579	1718	1244
580	1721	1241
581	1723	1237
582	1726	1234
583	1728	1231
584	1731	1228
585	1734	1225
586	1737	1222
587	1740	1219
588	1742	1216
589	1745	1212
590	1748	1209
591	1751	1207
592	1754	1204
593	1757	1200
594	1759	1197
595	1762	1194
596	1765	1191
597	1768	1188
598	1770	1185
599	1773	1182
600	1776	1179
601	1778	1176
602	1782	1173
603	1785	1170
604	1787	1167
605	1790	1164
606	1793	1160
607	1795	1157
608	1799	1155
609	1801	1151
610	1804	1148
611	1806	1145
612	1809	1142
613	1812	1139
614	1815	1136
615	1817	1133
616	1820	1130
617	1823	1126
618	1825	1123
619	1829	1121
620	1831	1118
621	1834	1114
622	1837	1111
623	1839	1108
624	1842	1105
625	1845	1102
626	1848	1099
627	1850	1096
628	1853	1093
629	1855	1089
630	1858	1086
631	1861	1083
632	1864	1080
633	1866	1077
634	1869	1074
635	1872	1071
636	1875	1068
637	1878	1065
638	1880	1062
639	1883	1059
640	1886	1056
641	1888	1053
642	1891	1050
643	1894	1047
644	1897	1044
645	1899	1040
646	1902	1037
647	1904	1034
648	1907	1031
649	1910	1028
650	1912	1025
651	1915	1022
652	1918	1019
653	1920	1016
654	1923	1013
655	1926	1010
656	1929	1007
657	1931	1004
658	1934	1000
659	1937	997
660	1940	995
661	1943	992
662	1945	988
663	1948	985
664	1950	982
665	1953	979
666	1957	977
667	1960	974
668	1963	971
669	1966	968
670	1969	965
671	1972	962
672	1975	959
673	1977	956
674	1980	953
675	1983	950
676	1986	947
677	1988	944
678	1991	941
679	1994	938
680	1996	935
681	1999	932
682	2002	929
683	2005	926
684	2008	923
685	2010	920
686	2013	917
687	2016	914
688	2019	911
689	2022	908
690	2024	905
691	2027	902
692	2030	899
693	2033	896
694	2036	893
695	2038	890
696	2041	887
697	2044	884
698	2047	881
699	2050	878
700	2052	875
701	2055	872
702	2058	869
703	2060	866
704	2063	863
705	2066	860
706	2068	857
707	2071	854
708	2074	851
709	2076	848
710	2080	845
711	2083	842
712	2085	839
713	2088	836
714	2090	833
715	2092	830
716	2095	826
717	2097	823
718	2100	820
719	2102	817
720	2105	814
721	2107	811
722	2110	808
723	2112	805
724	2115	802
725	2118	799
726	2120	796
727	2123	793
728	2125	790
729	2128	787
730	2131	784
731	2133	781
732	2136	778
733	2139	775
734	2141	772
735	2144	769
736	2147	766
737	2150	763
738	2152	760
739	2155	757
740	2158	754
741	2161	751
742	2164	748
743	2166	745
744	2169	742
745	2172	739
746	2175	736
747	2178	733
748	2180	730
749	2183	727
750	2186	724
751	2188	721
752	2191	718
753	2194	716
754	2197	713
755	2200	710
756	2202	707
757	2205	704
758	2208	701
759	2211	698
760	2214	695
761	2216	692
762	2219	689
763	2222	686
764	2225	683
765	2227	680
766	2230	677
767	2233	674
768	2235	671
769	2237	668
770	2240	665
771	2243	662
772	2246	659
773	2248	656
774	2251	653
775	2253	650
776	2256	647
777	2259	644
778	2261	641
779	2264	638
780	2266	635
781	2270	633
782	2273	630
783	2276	627
784	2279	624
785	2281	621
786	2284	618
787	2303	619
788	2306	616
789	2308	613
790	2310	610
791	2313	607
792	2315	604
793	2318	601
794	2321	598
795	2324	595
796	2327	592
797	2330	589
798	2332	586
799	2335	583
800	2337	580
801	2340	577
802	2342	574
803	2345	571
804	2348	568
805	2351	565
806	2353	562
807	2356	559
808	2358	556
809	2361	553
810	2364	550
811	2367	548
812	2370	545
813	2372	542
814	2375	539
815	2377	536
816	2382	533
817	2385	530
818	2387	527
819	2390	524
820	2393	521
821	2396	518
822	2398	515
823	2401	512
824	2404	510
825	2406	507
826	2409	504
827	2412	501
828	2415	498
829	2418	495
830	2421	492
831	2423	489
832	2426	486
833	2429	483
834	2432	480
835	2435	477
836	2437	474
837	2440	471
838	2444	469
839	2448	466
840	2450	463
841	2453	460
842	2456	457
843	2459	454
844	2462	451
845	2465	448
846	2468	445
847	2471	443
848	2475	440
849	2478	437
850	2482	434
851	2485	431
852	2488	428
853	2491	425
854	2494	423
855	2497	420
856	2499	417
857	2502	414
858	2505	411
859	2508	408
860	2511	405
861	2514	402
862	2517	399
863	2521	396
864	2524	393
865	2527	391
866	2530	388
867	2533	385
868	2537	382
869	2540	379
870	2543	376
871	2546	373
872	2549	370
873	2553	368
874	2556	365
875	2559	362
876	2562	359
877	2564	356
878	2569	353
879	2572	350
880	2575	347
881	2578	345
882	2581	342
883	2585	339
884	2588	336
885	2591	333
886	2594	330
887	2597	327
888	2600	324
889	2604	321
890	2606	318
891	2609	315
892	2612	313
893	2615	310
894	2618	307
895	2621	304
896	2623	301
897	2626	298
898	2628	295
899	2631	292
900	2634	289
901	2637	286
902	2639	283
903	2642	280
904	2645	277
905	2648	274
906	2651	271
907	2654	268
908	2656	265
909	2659	263
910	2662	260
911	2665	257
912	2668	254
913	2670	251
914	2673	248
915	2676	245
916	2679	242
917	2682	239
918	2684	236
919	2687	233
920	2690	230
921	2693	227
922	2696	224
923	2699	222
924	2702	219
925	2705	216
926	2709	213
927	2711	210
928	2714	207
929	2717	204
930	2719	201
931	2722	198
932	2725	195
933	2727	192
934	2730	189
935	2733	186
936	2735	183
937	2738	181
938	2741	178
939	2744	175
940	2746	172
941	2749	169
942	2751	166
943	2754	163
944	2757	160
945	2760	157
946	2763	154
947	2765	151
948	2768	148
949	2772	145
950	2774	142
951	2777	140
952	2779	137
953	2782	134
954	2785	131
955	2788	128
956	2791	125
957	2794	122
958	2796	119
959	2799	116
960	2802	113
961	2805	110
962	2808	107
963	2810	104
964	2813	102
965	2816	99
966	2819	96
967	2822	93
968	2825	90
969	2827	87
970	2830	84
971	2833	81
972	2836	78
973	2839	75
974	2842	72
975	2845	69
976	2848	67
977	2851	64
978	2854	61
979	2856	58
980	2859	55
981	2862	52
982	2865	49
983	2868	46
984	2871	43
985	2873	40
986	2876	37
987	2879	34
988	2882	32
989	2885	29
990	2888	26
991	2890	23
992	2893	20
993	2897	17
994	2899	14
995	2902	11
996	2905	8
997	2908	5
998	2911	2
999	2914	0
