iter	Logloss
0	0.6858873749
1	0.6790499878
2	0.6724684143
3	0.6660203552
4	0.6600494385
5	0.6535686493
6	0.6480021667
7	0.6437698364
8	0.6380124283
9	0.6321903229
10	0.6261304474
11	0.6204101181
12	0.6149166107
13	0.6096593475
14	0.6042807007
15	0.6001847839
16	0.5957212448
17	0.5908212662
18	0.5865471268
19	0.5821009827
20	0.5778742981
21	0.5735928726
22	0.5692338562
23	0.5655064011
24	0.5611843109
25	0.5570728302
26	0.5530687332
27	0.5500164413
28	0.5467759705
29	0.543188858
30	0.5401423645
31	0.5370800018
32	0.5337089157
33	0.5305682373
34	0.5271479797
35	0.523856163
36	0.5208977509
37	0.518017807
38	0.5152644348
39	0.5126380539
40	0.5099116516
41	0.5072579575
42	0.5045287704
43	0.502084198
44	0.4991939545
45	0.4970202637
46	0.4947076035
47	0.4923728561
48	0.4899277496
49	0.4876895142
50	0.4851298523
51	0.4830385971
52	0.481059494
53	0.4792296982
54	0.4773983002
55	0.4751921844
56	0.473243103
57	0.4713999939
58	0.4697904968
59	0.4679602814
60	0.4661540985
61	0.4644546127
62	0.4632332611
63	0.4614466476
64	0.4600756073
65	0.4586712646
66	0.4571709061
67	0.4554940033
68	0.4541255951
69	0.4526293945
70	0.4510294342
71	0.449633255
72	0.4482035446
73	0.4467660522
74	0.4454734039
75	0.4439685822
76	0.4430269241
77	0.4417984009
78	0.4406893158
79	0.4395275879
80	0.4382727051
81	0.4370345306
82	0.4355540466
83	0.4346253204
84	0.4332139206
85	0.4319038391
86	0.4308311844
87	0.4296159744
88	0.4285626602
89	0.4272952271
90	0.4262710571
91	0.425430603
92	0.4241053391
93	0.4232235336
94	0.4221639633
95	0.4211483765
96	0.4202745056
97	0.419324646
98	0.4184596634
99	0.4175482178
100	0.4168114853
101	0.4160511017
102	0.4151004028
103	0.4141938782
104	0.4134771729
105	0.412990036
106	0.412659111
107	0.4117094421
108	0.4108673859
109	0.410052948
110	0.4094049072
111	0.4086240387
112	0.4077939606
113	0.4070106888
114	0.406047287
115	0.4054262924
116	0.4047972488
117	0.4040787888
118	0.4032759094
119	0.4025296783
120	0.4020240021
121	0.4013006592
122	0.4004271698
123	0.3997539902
124	0.3991575623
125	0.398391571
126	0.3977807617
127	0.3971514893
128	0.3965345764
129	0.3958060455
130	0.3950907898
131	0.3946408844
132	0.3940769196
133	0.3936077881
134	0.3930900955
135	0.3928610611
136	0.3923744965
137	0.3920136642
138	0.3916352081
139	0.3911376953
140	0.3903617096
141	0.3898197937
142	0.3890463257
143	0.3885174179
144	0.3880389786
145	0.3874660492
146	0.3869342804
147	0.3862892914
148	0.3857828903
149	0.3852297211
150	0.3848718643
151	0.3842894745
152	0.3837708664
153	0.3836209488
154	0.3831269836
155	0.3824732971
156	0.3820590591
157	0.3816928482
158	0.3811621094
159	0.3805836105
160	0.3800214386
161	0.3794855881
162	0.3787285614
163	0.3782759094
164	0.3779412842
165	0.3772536469
166	0.3769374084
167	0.3765947342
168	0.3761722183
169	0.3757379913
170	0.3752989197
171	0.3747711182
172	0.3743433762
173	0.3737860489
174	0.3734039307
175	0.3729981995
176	0.3726704025
177	0.3723824692
178	0.3719475937
179	0.3715045547
180	0.3709738159
181	0.3705055237
182	0.3700272369
183	0.3695569611
184	0.3692073441
185	0.368824501
186	0.3682915497
187	0.3678049469
188	0.3672931671
189	0.3668393707
190	0.366546402
191	0.3661820984
192	0.3658101654
193	0.3653342819
194	0.3649897766
195	0.3645962143
196	0.3642049408
197	0.3638737488
198	0.363340683
199	0.3629852295
200	0.3627138901
201	0.362255249
202	0.3619072723
203	0.3615229034
204	0.3611315536
205	0.360820961
206	0.360499382
207	0.3601880646
208	0.3598819733
209	0.3596929932
210	0.359336853
211	0.3590359497
212	0.3587653351
213	0.3585374069
214	0.3580250549
215	0.3577347565
216	0.357521286
217	0.3572902679
218	0.3570010376
219	0.3567625427
220	0.3564521408
221	0.3560929489
222	0.3557803345
223	0.3553798676
224	0.3550227356
225	0.3546464539
226	0.3542948914
227	0.3539054489
228	0.3537169266
229	0.3533777618
230	0.3530934143
231	0.3528585434
232	0.3525316238
233	0.3522180939
234	0.3518956375
235	0.3516859436
236	0.3515195465
237	0.3511128998
238	0.3508864975
239	0.3504878998
240	0.3500670242
241	0.3498256683
242	0.3495576096
243	0.3493574524
244	0.3489745712
245	0.3487345123
246	0.3482832336
247	0.3479483414
248	0.3476358414
249	0.3474285889
250	0.3471618652
251	0.346934433
252	0.3467617798
253	0.3464386749
254	0.3461811066
255	0.3458013153
256	0.3455818939
257	0.3453933716
258	0.3450410843
259	0.34460289
260	0.3443466187
261	0.3440628815
262	0.343672905
263	0.3434432983
264	0.3431191254
265	0.3427719116
266	0.3425425339
267	0.3422771454
268	0.3420239258
269	0.3417681122
270	0.341559639
271	0.3412237549
272	0.3408862686
273	0.340688324
274	0.3403379822
275	0.339927063
276	0.3396665192
277	0.3395215988
278	0.3392658997
279	0.3390233612
280	0.3387305832
281	0.3384339905
282	0.3382500839
283	0.3379346848
284	0.3378166199
285	0.3374459839
286	0.3370819473
287	0.3368729401
288	0.3367585373
289	0.3364534378
290	0.3362703705
291	0.3361262131
292	0.3359482574
293	0.3357333374
294	0.3353702545
295	0.3350944519
296	0.3349194336
297	0.3347047424
298	0.3344612885
299	0.3342556763
300	0.3340266037
301	0.3337635803
302	0.3334333801
303	0.3333002472
304	0.3331240463
305	0.332956543
306	0.332859726
307	0.332602005
308	0.3324134445
309	0.332117157
310	0.3318079376
311	0.3315441513
312	0.3312041473
313	0.3310314178
314	0.3308325195
315	0.3306143951
316	0.3302594757
317	0.3300036621
318	0.3297988129
319	0.3295412827
320	0.3294462967
321	0.3292733765
322	0.3290144348
323	0.3288588333
324	0.3286656952
325	0.3285156631
326	0.3283071899
327	0.3280594254
328	0.3277212524
329	0.3276278305
330	0.3273736954
331	0.326917572
332	0.3266482925
333	0.3263417435
334	0.326186142
335	0.3259256744
336	0.3258001328
337	0.3256764984
338	0.3254183197
339	0.3251922607
340	0.3249451447
341	0.3246490479
342	0.3245081711
343	0.3242474365
344	0.324040451
345	0.3239472961
346	0.3237065125
347	0.3235707092
348	0.3235627747
349	0.3234019089
350	0.3232203674
351	0.3229751205
352	0.322702179
353	0.3225055695
354	0.3223090363
355	0.3221289063
356	0.3219088745
357	0.3216942215
358	0.321497345
359	0.3213438034
360	0.3211322784
361	0.3208348465
362	0.3206292343
363	0.3204701233
364	0.3201194382
365	0.319926281
366	0.3197650528
367	0.3194473648
368	0.3192766953
369	0.3191141129
370	0.3189743423
371	0.3187525177
372	0.3185888481
373	0.3183786583
374	0.3180970573
375	0.3179563141
376	0.3176417351
377	0.317424736
378	0.3171586418
379	0.316977272
380	0.3168575478
381	0.3167075348
382	0.316444931
383	0.3162718964
384	0.3161514282
385	0.3159375763
386	0.3157334137
387	0.3155183792
388	0.315314045
389	0.3150314331
390	0.3147292519
391	0.3145196915
392	0.314263916
393	0.3140863037
394	0.3139052963
395	0.3137656403
396	0.3135677719
397	0.3133156586
398	0.3130573463
399	0.3129563904
400	0.3126800346
401	0.3125281334
402	0.3124318314
403	0.312258873
404	0.3120261192
405	0.3117832184
406	0.3115995598
407	0.3114756584
408	0.3113394165
409	0.3112124252
410	0.3110297394
411	0.3106193542
412	0.3105395889
413	0.3103462029
414	0.3100115204
415	0.3097688293
416	0.3095526314
417	0.309279213
418	0.3090525436
419	0.308834343
420	0.3087214661
421	0.3085086823
422	0.3082139397
423	0.3080831718
424	0.3077894783
425	0.3076311493
426	0.3074954987
427	0.3072933578
428	0.3072115135
429	0.3070505142
430	0.3068992615
431	0.3068164825
432	0.3066722107
433	0.3064552689
434	0.3063059807
435	0.3061355591
436	0.3058935738
